module_id,code,type,internal_meaning,broker_text_ru,condition,allowed_action,blocked_action,downstream_effect,source_document,source_section
M04,CONTRACT_REQUIRED,STATE,«Автоматическая проверка подлинности пока недоступна».,По authenticity policy.,«Автоматическая проверка подлинности пока недоступна».,Approved manual verification/waiver.,По authenticity policy.,,M04_CASA_Pro_Pension_Implementation_and_Acceptance_v1.0,§16 Внутренние коды → язык брокера
M04,LEGAL_REVIEW_REQUIRED,STATE,«Способ автоматической проверки ещё не утверждён».,По gate/policy.,«Способ автоматической проверки ещё не утверждён».,Не запускать integration; manual process.,По gate/policy.,,M04_CASA_Pro_Pension_Implementation_and_Acceptance_v1.0,§16 Внутренние коды → язык брокера
M04,NO_CONTRIBUTION,STATE,«За месяц взнос не найден в подтверждённом полном покрытии».,"Нет, только если COVERED и no unknowns.",«За месяц взнос не найден в подтверждённом полном покрытии».,Показать coverage evidence.,"Нет, только если COVERED и no unknowns.",,M04_CASA_Pro_Pension_Implementation_and_Acceptance_v1.0,§16 Внутренние коды → язык брокера
M04,RECONCILIATION_FAILED,STATE,«Итоги или строки не сошлись».,Да.,«Итоги или строки не сошлись».,Показать понятную проверку + evidence.,Да.,,M04_CASA_Pro_Pension_Implementation_and_Acceptance_v1.0,§16 Внутренние коды → язык брокера
M04,AUTHENTICITY_UNVERIFIED,STATE,«Подлинность документа не подтверждена».,По policy; не писать «Подтверждено».,«Подлинность документа не подтверждена».,Manual reference/waiver.,По policy; не писать «Подтверждено».,,M04_CASA_Pro_Pension_Implementation_and_Acceptance_v1.0,§16 Внутренние коды → язык брокера
M04,UNKNOWN_KNP / UNKNOWN_STATUS,STATE,«Не удалось определить тип/статус строки».,Да для profile/base; policy для facts.,«Не удалось определить тип/статус строки».,Проверить код/статус; не считать positive.,Да для profile/base; policy для facts.,,M04_CASA_Pro_Pension_Implementation_and_Acceptance_v1.0,§16 Внутренние коды → язык брокера
M04,CRITICAL_FIELD_UNREADABLE,STATE,«Критичное значение не читается».,Да.,«Критичное значение не читается».,Открыть crop и исправить/заменить PDF.,Да.,,M04_CASA_Pro_Pension_Implementation_and_Acceptance_v1.0,§16 Внутренние коды → язык брокера
M04,Техническая целостность,QUALITY,Можно ли безопасно открыть и обработать файл?,Можно ли безопасно открыть и обработать файл?,Можно ли безопасно открыть и обработать файл?,VALID.,,,M04_CASA_Pro_Pension_Implementation_and_Acceptance_v1.0,§17 Подлинность / полнота / сверка
M04,Полнота,QUALITY,Все ли страницы X/N присутствуют и упорядочены?,Все ли страницы X/N присутствуют и упорядочены?,Все ли страницы X/N присутствуют и упорядочены?,"2/2, sequence 1/2→2/2.",,,M04_CASA_Pro_Pension_Implementation_and_Acceptance_v1.0,§17 Подлинность / полнота / сверка
M04,Субъект,QUALITY,ИИН/FIO совпадает с participant?,MATCH; PII в документации маскирована.,ИИН/FIO совпадает с participant?,MATCH; PII в документации маскирована.,,,M04_CASA_Pro_Pension_Implementation_and_Acceptance_v1.0,§17 Подлинность / полнота / сверка
M04,Шаблон,QUALITY,Поддержан ли exact issuer/type/template version?,Поддержан ли exact issuer/type/template version?,Поддержан ли exact issuer/type/template version?,GOVCORP_ENPF_MOVEMENT_RU_KK_2026.,,,M04_CASA_Pro_Pension_Implementation_and_Acceptance_v1.0,§17 Подлинность / полнота / сверка
M04,Подлинность,QUALITY,Есть ли проверенная signature/barcode/official reference?,BARCODE_PRESENT_UNVERIFIED; не VERIFIED.,Есть ли проверенная signature/barcode/official reference?,BARCODE_PRESENT_UNVERIFIED; не VERIFIED.,,,M04_CASA_Pro_Pension_Implementation_and_Acceptance_v1.0,§17 Подлинность / полнота / сверка
M04,Качество извлечения,QUALITY,Извлечены ли критичные поля и evidence?,PASS_WITH_REVIEW после calibration.,Извлечены ли критичные поля и evidence?,PASS_WITH_REVIEW после calibration.,,,M04_CASA_Pro_Pension_Implementation_and_Acceptance_v1.0,§17 Подлинность / полнота / сверка
M04,Сверка,QUALITY,Сходятся ли pages/rows/amounts/months/senders/statuses?,Сходятся ли pages/rows/amounts/months/senders/statuses?,Сходятся ли pages/rows/amounts/months/senders/statuses?,PCR-001…PCR-015.,,,M04_CASA_Pro_Pension_Implementation_and_Acceptance_v1.0,§17 Подлинность / полнота / сверка
M04,Ручная проверка,QUALITY,Закрыты ли blocking tasks человеком?,COMPLETED перед publish.,Закрыты ли blocking tasks человеком?,COMPLETED перед publish.,,,M04_CASA_Pro_Pension_Implementation_and_Acceptance_v1.0,§17 Подлинность / полнота / сверка
M04,Свежесть,QUALITY,Возраст документа по versioned process TTL?,age_days хранится; policy RG-07 открыта.,Возраст документа по versioned process TTL?,age_days хранится; policy RG-07 открыта.,,,M04_CASA_Pro_Pension_Implementation_and_Acceptance_v1.0,§17 Подлинность / полнота / сверка
M05,UNKNOWN,STATE,значение неизвестно; не заменяется нулём/нет,значение неизвестно; не заменяется нулём/нет,значение неизвестно; не заменяется нулём/нет,,,,04_CASA_Pro_Client_Profile_Final_Spec_KZ_2026-08-21,"§11 Состояние поля, подтверждение и конфликты"
M05,DECLARED,STATE,"заявлено клиентом/риелтором, без evidence","заявлено клиентом/риелтором, без evidence","заявлено клиентом/риелтором, без evidence",,,,04_CASA_Pro_Client_Profile_Final_Spec_KZ_2026-08-21,"§11 Состояние поля, подтверждение и конфликты"
M05,SOURCE_FACT,STATE,пришло из published upstream snapshot,пришло из published upstream snapshot,пришло из published upstream snapshot,,,,04_CASA_Pro_Client_Profile_Final_Spec_KZ_2026-08-21,"§11 Состояние поля, подтверждение и конфликты"
M05,EVIDENCE_REQUESTED,STATE,нужно подтверждение,нужно подтверждение,нужно подтверждение,,,,04_CASA_Pro_Client_Profile_Final_Spec_KZ_2026-08-21,"§11 Состояние поля, подтверждение и конфликты"
M05,VERIFIED,STATE,подтверждено allowed evidence/reviewer,подтверждено allowed evidence/reviewer,подтверждено allowed evidence/reviewer,,,,04_CASA_Pro_Client_Profile_Final_Spec_KZ_2026-08-21,"§11 Состояние поля, подтверждение и конфликты"
M05,CONFLICT,STATE,два значимых источника расходятся,два значимых источника расходятся,два значимых источника расходятся,,,,04_CASA_Pro_Client_Profile_Final_Spec_KZ_2026-08-21,"§11 Состояние поля, подтверждение и конфликты"
M05,STALE,STATE,evidence/source устарел по process policy,evidence/source устарел по process policy,evidence/source устарел по process policy,,,,04_CASA_Pro_Client_Profile_Final_Spec_KZ_2026-08-21,"§11 Состояние поля, подтверждение и конфликты"
M05,NOT_APPLICABLE,STATE,поле не применимо,поле не применимо,поле не применимо,,,,04_CASA_Pro_Client_Profile_Final_Spec_KZ_2026-08-21,"§11 Состояние поля, подтверждение и конфликты"
M05,CORRECTED,STATE,создана новая reviewed revision; raw/source не уничтожен,создана новая reviewed revision; raw/source не уничтожен,создана новая reviewed revision; raw/source не уничтожен,,,,04_CASA_Pro_Client_Profile_Final_Spec_KZ_2026-08-21,"§11 Состояние поля, подтверждение и конфликты"
M05,Пенсионный sender ≠ заявленный работодатель,STATE,не менять автоматически; показать два факта + даты; запросить relationship confirmation/evidence,не менять автоматически; показать два факта + даты; запросить relationship confirmation/evidence,не менять автоматически; показать два факта + даты; запросить relationship confirmation/evidence,,,,04_CASA_Pro_Client_Profile_Final_Spec_KZ_2026-08-21,"§11 Состояние поля, подтверждение и конфликты"
M05,Заявленный взнос 5 млн ≠ сумма sources 3 млн,STATE,"goal reconciliation = FAIL/UNRECONCILED; показать недостающие 2 млн как gap, не как ноль","goal reconciliation = FAIL/UNRECONCILED; показать недостающие 2 млн как gap, не как ноль","goal reconciliation = FAIL/UNRECONCILED; показать недостающие 2 млн как gap, не как ноль",,,,04_CASA_Pro_Client_Profile_Final_Spec_KZ_2026-08-21,"§11 Состояние поля, подтверждение и конфликты"
M05,Риелтор исправляет сумму verified document,STATE,создать correction revision + actor/reason; не перезаписывать source value,создать correction revision + actor/reason; не перезаписывать source value,создать correction revision + actor/reason; не перезаписывать source value,,,,04_CASA_Pro_Client_Profile_Final_Spec_KZ_2026-08-21,"§11 Состояние поля, подтверждение и конфликты"
M05,КИ обновилась после подтверждения анкеты,STATE,client_profile_snapshot становится superseded/needs_rebuild; новая версия собирает новый credit_history_snapshot,client_profile_snapshot становится superseded/needs_rebuild; новая версия собирает новый credit_history_snapshot,client_profile_snapshot становится superseded/needs_rebuild; новая версия собирает новый credit_history_snapshot,,,,04_CASA_Pro_Client_Profile_Final_Spec_KZ_2026-08-21,"§11 Состояние поля, подтверждение и конфликты"
M05,SOURCE_FACT,STATE,Получено автоматически,Quality/freshness upstream сохраняются.,Получено автоматически,Факт из selected/published upstream contract.,Посмотреть источник; correction отдельно.,Quality/freshness upstream сохраняются.,M05_CASA_Pro_Client_Profile_Implementation_and_Acceptance_v1.1,§17 Field statuses / UNKNOWN
M05,DECLARED,STATE,Со слов клиента,Не VERIFIED и не bank accepted.,Со слов клиента,Заявлено без required evidence.,Сохранить / запросить evidence по policy.,Не VERIFIED и не bank accepted.,M05_CASA_Pro_Client_Profile_Implementation_and_Acceptance_v1.1,§17 Field statuses / UNKNOWN
M05,EVIDENCE_REQUESTED,STATE,Нужно подтверждение,Section NEEDS_EVIDENCE; publish по gate.,Нужно подтверждение,Policy требует evidence.,Добавить разрешённое доказательство.,Section NEEDS_EVIDENCE; publish по gate.,M05_CASA_Pro_Client_Profile_Implementation_and_Acceptance_v1.1,§17 Field statuses / UNKNOWN
M05,VERIFIED,STATE,Подтверждено документом,Не bank accepted.,Подтверждено документом,Allowed evidence/reviewer подтвердили fact.,Посмотреть evidence; correct только revision.,Не bank accepted.,M05_CASA_Pro_Client_Profile_Implementation_and_Acceptance_v1.1,§17 Field statuses / UNKNOWN
M05,CONFLICT,STATE,Есть расхождение,Blocking только по explicit policy.,Есть расхождение,Два значимых источника расходятся.,Сравнить источники / review.,Blocking только по explicit policy.,M05_CASA_Pro_Client_Profile_Implementation_and_Acceptance_v1.1,§17 Field statuses / UNKNOWN
M05,STALE,STATE,Данные устарели,Profile may need rebuild; не current fact.,Данные устарели,Freshness policy пометила input.,Обновить upstream/evidence.,Profile may need rebuild; не current fact.,M05_CASA_Pro_Client_Profile_Implementation_and_Acceptance_v1.1,§17 Field statuses / UNKNOWN
M05,UNKNOWN,STATE,Неизвестно,Не 0/false/blank; publish по gate.,Неизвестно,Значение неизвестно; reason хранится.,Продолжить остальные секции.,Не 0/false/blank; publish по gate.,M05_CASA_Pro_Client_Profile_Implementation_and_Acceptance_v1.1,§17 Field statuses / UNKNOWN
M05,NOT_APPLICABLE,STATE,Не применимо,Не missing и не 0.,Не применимо,Вопрос неприменим для текущего branch.,Нет действия.,Не missing и не 0.,M05_CASA_Pro_Client_Profile_Implementation_and_Acceptance_v1.1,§17 Field statuses / UNKNOWN
M05,CORRECTED,STATE,Исправлено после проверки,Source/raw сохранены; новая версия.,Исправлено после проверки,Новая reviewed revision.,Открыть историю и evidence.,Source/raw сохранены; новая версия.,M05_CASA_Pro_Client_Profile_Implementation_and_Acceptance_v1.1,§17 Field statuses / UNKNOWN
M06,MISSING,STATE,Нет,«Не хватает обязательного входа: {label}».,Нет,BLOCKED,«Не хватает обязательного входа: {label}».,,M06_CASA_Pro_Calculation_Engine_Production_Spec_v1.4,§16 UNKNOWN / zero / blank / NA
M06,BLANK,STATE,Нет,«Поле не заполнено». Blank не 0.,Нет,BLOCKED,«Поле не заполнено». Blank не 0.,,M06_CASA_Pro_Calculation_Engine_Production_Spec_v1.4,§16 UNKNOWN / zero / blank / NA
M06,UNKNOWN,STATE,Нет,«Значение неизвестно».,Нет,BLOCKED,«Значение неизвестно».,,M06_CASA_Pro_Calculation_Engine_Production_Spec_v1.4,§16 UNKNOWN / zero / blank / NA
M06,0,STATE,"Да, если domain допускает",Явный ноль сохраняется как число.,"Да, если domain допускает",COMPLETED / limitation inherited,Явный ноль сохраняется как число.,,M06_CASA_Pro_Calculation_Engine_Production_Spec_v1.4,§16 UNKNOWN / zero / blank / NA
M06,NOT_APPLICABLE,STATE,Нет,«Расчёт не применяется к текущему случаю».,Нет,NOT_APPLICABLE,«Расчёт не применяется к текущему случаю».,,M06_CASA_Pro_Calculation_Engine_Production_Spec_v1.4,§16 UNKNOWN / zero / blank / NA
M06,STALE,STATE,Нет,«Входные данные устарели; обновите источник».,Нет,BLOCKED,«Входные данные устарели; обновите источник».,,M06_CASA_Pro_Calculation_Engine_Production_Spec_v1.4,§16 UNKNOWN / zero / blank / NA
M06,CONFLICT,STATE,Нет,«Есть расхождение между источниками».,Нет,BLOCKED,«Есть расхождение между источниками».,,M06_CASA_Pro_Calculation_Engine_Production_Spec_v1.4,§16 UNKNOWN / zero / blank / NA
M06,BLOCKED upstream,BLOCKER,Нет,Причина и blocking_input_refs наследуются.,Нет,BLOCKED,Причина и blocking_input_refs наследуются.,,M06_CASA_Pro_Calculation_Engine_Production_Spec_v1.4,§16 UNKNOWN / zero / blank / NA
M06,DECLARED value,STATE,Да,«Расчёт по данным со слов клиента».,Да,COMPLETED_WITH_LIMITATIONS,«Расчёт по данным со слов клиента».,,M06_CASA_Pro_Calculation_Engine_Production_Spec_v1.4,§16 UNKNOWN / zero / blank / NA
M06,EVIDENCE_REQUESTED value,STATE,Да,«Нужно подтверждение входного значения».,Да,COMPLETED_WITH_LIMITATIONS,«Нужно подтверждение входного значения».,,M06_CASA_Pro_Calculation_Engine_Production_Spec_v1.4,§16 UNKNOWN / zero / blank / NA
M06,VERIFIED/CONFIRMED,STATE,Да,«Рассчитано по подтверждённым входам».,Да,COMPLETED,«Рассчитано по подтверждённым входам».,,M06_CASA_Pro_Calculation_Engine_Production_Spec_v1.4,§16 UNKNOWN / zero / blank / NA
M06,MISSING_INPUT,ERROR,Required field absent,Не хватает данных для расчёта.,Required field absent,value=null; BLOCKED; refs,Не хватает данных для расчёта.,,M06_CASA_Pro_Calculation_Engine_Production_Spec_v1.4,§19 Errors
M06,UNKNOWN_INPUT,ERROR,UNKNOWN/BLANK,Значение неизвестно или не заполнено.,UNKNOWN/BLANK,value=null; BLOCKED,Значение неизвестно или не заполнено.,,M06_CASA_Pro_Calculation_Engine_Production_Spec_v1.4,§19 Errors
M06,STALE_INPUT,ERROR,Required source stale,Обновите устаревшие данные.,Required source stale,value=null; BLOCKED,Обновите устаревшие данные.,,M06_CASA_Pro_Calculation_Engine_Production_Spec_v1.4,§19 Errors
M06,CONFLICTING_INPUT,ERROR,Required source conflict,Сначала устраните расхождение.,Required source conflict,value=null; BLOCKED,Сначала устраните расхождение.,,M06_CASA_Pro_Calculation_Engine_Production_Spec_v1.4,§19 Errors
M06,CURRENCY_MISMATCH,ERROR,Currencies differ,Нет утверждённого пересчёта валют.,Currencies differ,value=null; BLOCKED,Нет утверждённого пересчёта валют.,,M06_CASA_Pro_Calculation_Engine_Production_Spec_v1.4,§19 Errors
M06,NEGATIVE_AMOUNT,ERROR,Money <0,Сумма не может быть отрицательной.,Money <0,value=null; INVALID_INPUT,Сумма не может быть отрицательной.,,M06_CASA_Pro_Calculation_Engine_Production_Spec_v1.4,§19 Errors
M06,INVALID_TERM,ERROR,n≤0 or n>1200,Проверьте срок в месяцах.,n≤0 or n>1200,value=null; INVALID_INPUT,Проверьте срок в месяцах.,,M06_CASA_Pro_Calculation_Engine_Production_Spec_v1.4,§19 Errors
M06,INVALID_RATE,ERROR,a<0 or a>100,Проверьте годовую ставку-параметр.,a<0 or a>100,value=null; INVALID_INPUT,Проверьте годовую ставку-параметр.,,M06_CASA_Pro_Calculation_Engine_Production_Spec_v1.4,§19 Errors
M06,UNSUPPORTED_FREQUENCY,ERROR,not MONTHLY,Поддерживается только ежемесячный платёж.,not MONTHLY,value=null; INVALID_INPUT,Поддерживается только ежемесячный платёж.,,M06_CASA_Pro_Calculation_Engine_Production_Spec_v1.4,§19 Errors
M06,REGULATORY_INPUT_REQUIRED,ERROR,KDN requested,КДН не рассчитан: нужны нормативные входы/правила банка.,KDN requested,value=null; DISABLED,КДН не рассчитан: нужны нормативные входы/правила банка.,,M06_CASA_Pro_Calculation_Engine_Production_Spec_v1.4,§19 Errors
M06,ENGINE_ERROR,ERROR,Unexpected deterministic failure,Результат не рассчитан. Повторите или обратитесь в поддержку.,Unexpected deterministic failure,value=null; FAILED; trace_id no PII,Результат не рассчитан. Повторите или обратитесь в поддержку.,,M06_CASA_Pro_Calculation_Engine_Production_Spec_v1.4,§19 Errors
M06,MISSING,STATE,No,Не хватает обязательного входа. Открыть профиль и заполнить поле.,No,BLOCKED,MISSING_INPUT,Не хватает обязательного входа. Открыть профиль и заполнить поле.,M06_CASA_Pro_Calculation_Engine_Implementation_and_Acceptance_v1.1,§11 State engine
M06,BLANK,STATE,No,Поле не заполнено. Blank не заменяется нулём.,No,BLOCKED,UNKNOWN_INPUT,Поле не заполнено. Blank не заменяется нулём.,M06_CASA_Pro_Calculation_Engine_Implementation_and_Acceptance_v1.1,§11 State engine
M06,UNKNOWN,STATE,No,Значение неизвестно. Уточнить исходные данные.,No,BLOCKED,UNKNOWN_INPUT,Значение неизвестно. Уточнить исходные данные.,M06_CASA_Pro_Calculation_Engine_Implementation_and_Acceptance_v1.1,§11 State engine
M06,STALE,STATE,No,Входные данные устарели. Обновить upstream/profile.,No,BLOCKED,STALE_INPUT,Входные данные устарели. Обновить upstream/profile.,M06_CASA_Pro_Calculation_Engine_Implementation_and_Acceptance_v1.1,§11 State engine
M06,CONFLICT,STATE,No,Есть расхождение. Сначала завершить review.,No,BLOCKED,CONFLICTING_INPUT,Есть расхождение. Сначала завершить review.,M06_CASA_Pro_Calculation_Engine_Implementation_and_Acceptance_v1.1,§11 State engine
M06,BLOCKED upstream,BLOCKER,No,Показать наследованную причину и source link.,No,BLOCKED,source code,Показать наследованную причину и source link.,M06_CASA_Pro_Calculation_Engine_Implementation_and_Acceptance_v1.1,§11 State engine
M06,NOT_APPLICABLE,STATE,No,Расчёт не применяется к текущему случаю.,No,NOT_APPLICABLE,—,Расчёт не применяется к текущему случаю.,M06_CASA_Pro_Calculation_Engine_Implementation_and_Acceptance_v1.1,§11 State engine
M06,0,STATE,Yes if domain valid,Явный ноль сохраняется как число.,Yes if domain valid,COMPLETED or inherited limitation,—,Явный ноль сохраняется как число.,M06_CASA_Pro_Calculation_Engine_Implementation_and_Acceptance_v1.1,§11 State engine
M06,DECLARED,STATE,Yes,Расчёт по данным со слов клиента.,Yes,COMPLETED_WITH_LIMITATIONS,—,Расчёт по данным со слов клиента.,M06_CASA_Pro_Calculation_Engine_Implementation_and_Acceptance_v1.1,§11 State engine
M06,EVIDENCE_REQUESTED,STATE,Yes,Нужно подтверждение исходных данных.,Yes,COMPLETED_WITH_LIMITATIONS,—,Нужно подтверждение исходных данных.,M06_CASA_Pro_Calculation_Engine_Implementation_and_Acceptance_v1.1,§11 State engine
M06,VERIFIED/CONFIRMED,STATE,Yes,Рассчитано по подтверждённым входам.,Yes,COMPLETED,—,Рассчитано по подтверждённым входам.,M06_CASA_Pro_Calculation_Engine_Implementation_and_Acceptance_v1.1,§11 State engine
M06,MISSING_INPUT,ERROR,BLOCKED,Заполнить профиль,BLOCKED,Run created; value=null,Не хватает данных для расчёта.,Заполнить профиль,M06_CASA_Pro_Calculation_Engine_Implementation_and_Acceptance_v1.1,§14 Errors and human messages
M06,UNKNOWN_INPUT,ERROR,BLOCKED,Уточнить данные,BLOCKED,Run created; value=null,Значение неизвестно или не заполнено.,Уточнить данные,M06_CASA_Pro_Calculation_Engine_Implementation_and_Acceptance_v1.1,§14 Errors and human messages
M06,STALE_INPUT,ERROR,BLOCKED,Обновить upstream/profile,BLOCKED,Run created; value=null,Входные данные устарели.,Обновить upstream/profile,M06_CASA_Pro_Calculation_Engine_Implementation_and_Acceptance_v1.1,§14 Errors and human messages
M06,CONFLICTING_INPUT,ERROR,BLOCKED,Открыть review,BLOCKED,Run created; value=null,Сначала устраните расхождение.,Открыть review,M06_CASA_Pro_Calculation_Engine_Implementation_and_Acceptance_v1.1,§14 Errors and human messages
M06,CURRENCY_MISMATCH,ERROR,BLOCKED,Использовать совместимые KZT inputs,BLOCKED,Run created; value=null,Нет утверждённого пересчёта валют.,Использовать совместимые KZT inputs,M06_CASA_Pro_Calculation_Engine_Implementation_and_Acceptance_v1.1,§14 Errors and human messages
M06,NEGATIVE_AMOUNT,ERROR,INVALID_INPUT,Исправить input,INVALID_INPUT,Run created; value=null,Сумма не может быть отрицательной.,Исправить input,M06_CASA_Pro_Calculation_Engine_Implementation_and_Acceptance_v1.1,§14 Errors and human messages
M06,INVALID_TERM,ERROR,INVALID_INPUT,Введите 1…1200,INVALID_INPUT,Run created; value=null,Проверьте срок в месяцах.,Введите 1…1200,M06_CASA_Pro_Calculation_Engine_Implementation_and_Acceptance_v1.1,§14 Errors and human messages
M06,INVALID_RATE,ERROR,INVALID_INPUT,Введите 0…100,INVALID_INPUT,Run created; value=null,Проверьте годовую ставку.,Введите 0…100,M06_CASA_Pro_Calculation_Engine_Implementation_and_Acceptance_v1.1,§14 Errors and human messages
M06,UNSUPPORTED_FREQUENCY,ERROR,INVALID_INPUT,Поддерживается только ежемесячный платёж.,INVALID_INPUT,Run created; value=null,Поддерживается только ежемесячный платёж.,MONTHLY,M06_CASA_Pro_Calculation_Engine_Implementation_and_Acceptance_v1.1,§14 Errors and human messages
M06,REGULATORY_INPUT_REQUIRED,ERROR,DISABLED,Нет CTA расчёта 1.0,DISABLED,Run created; value=null,КДН не рассчитан: нужны входы и правила банка.,Нет CTA расчёта 1.0,M06_CASA_Pro_Calculation_Engine_Implementation_and_Acceptance_v1.1,§14 Errors and human messages
M06,ENGINE_ERROR,ERROR,FAILED,Повторить / поддержка,FAILED,HTTP 500 if run cannot finish; trace_id no PII,Результат не рассчитан.,Повторить / поддержка,M06_CASA_Pro_Calculation_Engine_Implementation_and_Acceptance_v1.1,§14 Errors and human messages
M06,COMPLETED,STATE,Рассчитано по подтверждённым исходным данным,Рассчитано по подтверждённым исходным данным,Рассчитано по подтверждённым исходным данным,,,,M06_CASA_Pro_Calculation_Engine_Implementation_and_Acceptance_v1.1,Human states
M06,COMPLETED_WITH_LIMITATIONS / DECLARED,STATE,Расчёт по данным со слов клиента,Расчёт по данным со слов клиента,Расчёт по данным со слов клиента,,,,M06_CASA_Pro_Calculation_Engine_Implementation_and_Acceptance_v1.1,Human states
M06,EVIDENCE_REQUESTED,STATE,Нужно подтверждение исходных данных,Нужно подтверждение исходных данных,Нужно подтверждение исходных данных,,,,M06_CASA_Pro_Calculation_Engine_Implementation_and_Acceptance_v1.1,Human states
M06,BLOCKED,BLOCKER,Недостаточно данных для расчёта,Недостаточно данных для расчёта,Недостаточно данных для расчёта,,,,M06_CASA_Pro_Calculation_Engine_Implementation_and_Acceptance_v1.1,Human states
M06,STALE_INPUT,STATE,Входные данные устарели,Входные данные устарели,Входные данные устарели,,,,M06_CASA_Pro_Calculation_Engine_Implementation_and_Acceptance_v1.1,Human states
M06,CONFLICTING_INPUT,STATE,Есть расхождение в исходных данных,Есть расхождение в исходных данных,Есть расхождение в исходных данных,,,,M06_CASA_Pro_Calculation_Engine_Implementation_and_Acceptance_v1.1,Human states
M06,DISABLED KDN,STATE,КДН пока не рассчитан,КДН пока не рассчитан,КДН пока не рассчитан,,,,M06_CASA_Pro_Calculation_Engine_Implementation_and_Acceptance_v1.1,Human states
